id,url,caption,related_mission_ids
34,static/images/inflight-images/pioneer-3/Pioneer-3-pad.png,The Pioneer 3 spacecraft atop its specially painted UR-350A awaiting launch from Mahia Peninsula on its mission to Mercury.,[7]
35,static/images/inflight-images/pioneer-3/Pioneer-3-ascent1.png,The first stage of the UR-350A is successfully ignited and the vehicle rises away from the pad.,[7]
36,static/images/inflight-images/pioneer-3/Pioneer-3-ascent2.png,A successful stage separation is completed as the first stage depletes is fuel and is flung away.,[7]
37,static/images/inflight-images/pioneer-3/Pioneer-3-ascent3.png,"The third stage successfully fires, detaching the second stage and payload fairing. The antenna and solar panel are deployed.",[7]
38,static/images/inflight-images/pioneer-3/Pioneer-3-transfer.png,"The Pegasus-C kick stage burns over South Africa to send the spacecraft on its way to Mercury, this requires the majority of the fuel in the stage to achieve.",[7]
39,static/images/inflight-images/pioneer-3/Pioneer-3-payload-deploy.png,"Following a successful burn to Mercury, the Pegasus-C kick stage points the spacecraft towards the sun, spin stabilises it, and deploys the payload.",[7]
40,static/images/inflight-images/pioneer-3/Pioneer-3-departing.png,"The Pioneer 3 spacecraft departing Earth, hovering over Australia and the Indian Ocean.",[7]
41,static/images/inflight-images/luna-18/Luna-18-ascent1.png,"The UR-350A rocket rising over the launch complex, carrying the Luna 18 mission to orbit.",[8]
42,static/images/inflight-images/luna-18/Luna-18-ascent2.png,"The first stage of the UR-350A burnout and the second stage fires, sending the first stage spiralling into a watery demise in the Pacific Ocean.",[8]
43,static/images/inflight-images/luna-18/Luna-18-ascent3.png,The second stage of the UR-350A runs out of fuel as is sentenced to the same fate as the first stage.,[8]
44,static/images/inflight-images/luna-18/Luna-18-TLI.png,The Pegasus-C kick stage fires to send the Luna 18 spacecraft towards the moon.,[8]
45,static/images/inflight-images/luna-18/Luna-18-outward-coast.png,"The Luna 18 spacecraft is left to tumble on its way to the Moon, awaiting more advanced guidance in lunar space to fine tune the landing site.",[8]
46,static/images/inflight-images/luna-18/Luna-18-braking.png,The Pegasus-C ignites its S1.5400/11D33 engine to slow the spacecraft from ~2.3 km/s to ~100m/s to allow the spacecraft to gently land on the lunar surface.,[8]
47,static/images/inflight-images/luna-18/Luna-18-final-burn.png,"The Luna 18 spacecraft ignites its landing engines and slows to ~2m/s, allowing it to gently touchdown on the surface of the Moon.",[8]
48,static/images/inflight-images/luna-18/Luna-18-touchdown.png,The Luna 18 spacecraft touched down in Mare Imbrium during the lunar sunrise on the 19th of October 1963.,[8]
49,static/images/inflight-images/luna-19/Luna-19-ascent1.png,The Luna 19 communications network atop its UR-350A launch vehicle rises above the launch complex.,[9]
50,static/images/inflight-images/luna-19/Luna-19-ascent2.png,"The second stage of the UR-350A propels the Luna 19 network into space, increasing its velocity to ~4 km/s.",[9]
51,static/images/inflight-images/luna-19/Luna-19-ascent3.png,"The third stage of the UR-350A places the Luna 19 bus into orbit, deploying communications and solar systems.",[9]
52,static/images/inflight-images/luna-19/Luna-19-separation.png,The Luna 19 network and its Pegasus-C kick stage are released from the URS-350-3A.,[9]
53,static/images/inflight-images/luna-19/Luna-19-TLI.png,The Pegasus-C kick stage propels the spacecraft into a trans lunar trajectory.,[9]
54,static/images/inflight-images/luna-19/Luna-19-final-orbit.png,"The Luna 19 C spacecraft in its final lunar orbit, providing useful communications to any far-side lunar spacecraft.",[9]
55,static/images/inflight-images/svet-17/Svet-17-pad.png,The Svet 17 spacecraft atop its UR-200A launch vehicle with the space centre in view.,[10]
56,static/images/inflight-images/svet-17/Svet-17-ascent1.png,"The first and second stages of the UR-200A launch vehicle separate, continuing to propel the spacecraft into orbit.",[10]
57,static/images/inflight-images/svet-17/Svet-17-ascent2.png,The second stage of the UR-200A flying over the South Island of New Zealand. This spacecraft's unusual trajectory increases the risk of debris flying over populated areas.,[10]
58,static/images/inflight-images/svet-17/Svet-17-transfer.png,The Pegasus-B kick stage burns over the north of Canada to place the spacecraft into a tundra orbit.,[10]
59,static/images/inflight-images/svet-17/Svet-17-deployment.png,"The Svet 17 spacecraft is released, with its solar panels facing the sun and a gentle stabilising spin established.",[10]
60,static/images/inflight-images/luna-20/Luna-20-pad.png,"The Luna 20 spacecraft, atop its UR-200A launch vehicle, awaits launch.",[11]
61,static/images/inflight-images/luna-20/Luna-20-ascent1.png,The UR-200A first stage rises over the Pacific Ocean in the early morning.,[11]
62,static/images/inflight-images/luna-20/Luna-20-ascent2.png,The UR-200A second stage continues to propel the Luna 20 stack into Earth orbit.,[11]
63,static/images/inflight-images/luna-20/Luna-20-post-TLI.png,The Pegasus-B kick stage successfully completed a burn to place the spacecraft into a translunar trajectory over South America.,[11]
64,static/images/inflight-images/luna-20/Luna-20-hulk.png,"The vehicle during its transfer to the Moon, runs out of power leaving it a metallic hulk flying through space.",[11]
65,static/images/inflight-images/explorer-4/Explorer-4-pad.png,"The Explorer 4 spacecraft atop its UR-100A booster, awaiting its launch into a polar orbit.",[12]
66,static/images/inflight-images/explorer-4/Explorer-4-ascent.png,"The URS-100-1A first stage propels the spacecraft towards space, however, a wing element is experiencing unexpected heat loading.",[12]
67,static/images/inflight-images/explorer-4/Explorer-4-failure.png,"Due to an aerodynamic surface overheating, the vehicle spins out of control, causing the second and third stage engines to be unable to fire, dooming the mission.",[12]
68,static/images/inflight-images/pioneer-3/Pioneer-3-flyby.png,"The Pioneer 3 spacecraft approaches the rocky hulk of Mercury, which is the most thermally strenuous environment the spacecraft will have to endure.",[7]
69,static/images/inflight-images/pioneer-3/Pioneer-3-flyby2.png,"Pioneer 3 at its closest approach to Mercury, here it collected lots of useful information on the closest planet to the Sun.",[7]
70,static/images/inflight-images/explorer-5/Explorer-5-pad.png,"The Explorer 5 spacecraft, atop its UR-100A launch vehicle awaiting launch, hoping for a more successful launch than its predecessors.",[14]
71,static/images/inflight-images/explorer-5/Explorer-5-ascent1.png,"The URS-100-1A rises above the space centre, suffering no immediate adverse aerodynamic anomalies like the last mission.",[14]
72,static/images/inflight-images/explorer-5/Explorer-5-ascent-2.png,"The second stage of the UR-100A propels the spacecraft into orbit, a minor anomaly occurs, resulting in a loss of thrust from the second stage, but this is a minor problem.",[14]
73,static/images/inflight-images/explorer-5/Explorer-5-ascent3.png,The Pegasus-B kick stage completes the orbital insertion burn.,[14]
74,static/images/inflight-images/explorer-5/Explorer-5-transfer.png,The Explorer 5 spacecraft is propelled into its target orbit by the Pegasus-B kick stage.,[14]
75,static/images/inflight-images/explorer-5/Explorer-5-deploy.png,"The Explorer 5 spacecraft is deployed into its highly eccentric orbit, which allows it to gather data on many parts of the planet and its space environment.",[14]
76,static/images/inflight-images/luna-21/Luna-21-pad.png,The Luna 21 spacecraft and its Pegasus-B atop its especially stylised UR-200A awaiting launch.,[13]
77,static/images/inflight-images/luna-21/Luna-21-ascent1.png,"The UR-200A launch vehicle rising into the sky, turning east of the Pacific Ocean.",[13]
78,static/images/inflight-images/luna-21/Luna-21-ascent2.png,"The second stage of the UR-200A ignites successfully, sending the first stage into the Pacific Ocean.",[13]
79,static/images/inflight-images/luna-21/Luna-21-transfer.png,"The Pegasus-B kick stage, specially modified for deep space missions, burns to place Luna 21 onto a translunar trajectory.",[13]
80,static/images/inflight-images/luna-21/Luna-21-deepspace.png,The Luna 21 spacecraft in deep space during its three day journey to the Moon.,[13]
81,static/images/inflight-images/luna-21/Luna-21-captured.png,"The Luna 21 spacecraft, captured into lunar orbit and left to fly free of the transfer stage, begins its scientific mission.",[13]
